,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,Date
0,245889.60214506596,249609.28558202612,89242.22652268763,96578.462361969,162.41228996443724,334841.9273235,182342.12267752437,192819.6081134701,188920.84236360274,26/03/2019
1,171331.49258375264,184772.09099940397,121265.5685830917,427387.448383426,0.0,78099.11986199218,212269.67919143278,255399.6123273399,145669.73526148492,21/05/2021
2,270539.4261224798,196181.21107617437,208752.7620949614,1087895.3231578118,53.7926055933168,63656.76200765439,251453.18101892108,215835.37759636197,150316.69033505348,29/05/2021
3,185634.47686694335,141361.78046339942,160645.6243600751,421836.9620407841,0.0,353239.8354181978,233866.88492311927,273591.29611060023,112740.37968033418,31/03/2021
4,219718.1840949723,248496.20069648756,78255.23904400546,131824.05063774504,4846.506869320946,61908.960738658105,135445.33308871946,183495.7964250607,95465.77597028502,21/01/2021
5,178026.50650354402,121326.252523705,210628.00284624632,166792.114596389,67.75799358388943,96589.01749716346,40726.15937975164,220127.02377062986,197893.39876379064,19/01/2021
6,136334.82891211577,229295.48642094707,102152.53784884153,158188.86076529406,0.0,103948.18073504258,129274.70287966618,183546.28638005207,174735.4866331316,23/10/2020
7,223674.32868393994,162232.12206724775,207911.30791169254,76874.23584559026,28.758354528734753,168340.85906648487,290636.6828464094,164842.05305369743,216656.20557675988,08/11/2019
8,188981.98382683904,208146.8735957141,170622.86681883465,97411.03531336528,0.0,125105.77504394506,67568.4007891334,180478.6391146663,198100.27534897678,18/12/2020
9,102251.12168408684,174476.0558081721,179422.07342101773,106569.33777872441,0.0,65128.59465523022,107986.02865843238,229917.4850430506,197151.7502943684,01/11/1994
10,224282.9663130119,223173.5195504849,114702.22595359448,243666.35044197927,0.0,85642.26218081827,210418.49012871683,220342.75357832032,140909.12072016587,30/10/2020
11,243150.73281424222,183659.00611386538,147927.64541866837,219244.2105343549,0.0,102108.3899255728,145318.3414232047,214261.0089998124,159801.12318712487,14/08/2020
12,213023.1701751809,200911.82183971332,85539.82811630458,102406.473021743,0.0,250211.55008789012,233249.82190221394,139213.04590034226,114907.26881370682,06/11/2020
13,284538.0915911345,126335.13450862862,180527.984633314,1040716.1892453555,0.0,75799.38135015494,110145.74923160102,203601.50850208537,153351.15281578776,07/08/2020
14,223370.00986940396,243209.0474901793,75923.208878946,183721.09794144676,58.9649715157511,44982.88529153613,279221.01695966086,188117.92230472676,135760.10152286492,03/07/2020
15,233412.5307490911,133848.457486014,204833.98975573777,222852.02665707213,0.0,247451.86387368545,234792.47945447726,229616.0753117384,140132.31140820208,11/06/2020
16,227021.83564383566,192007.1427554047,191274.5566310622,455139.88009663555,0.0,92909.4358782239,153340.16069497398,137664.6872806064,148601.98599064501,17/04/2020
17,204502.2433681737,237921.89428387105,90492.38702354424,110177.15390144165,0.0,297126.2157293695,199311.3557524209,188275.5121642453,148983.84909452617,22/05/2020
18,253801.89132300124,126335.13450862862,234405.09391061543,557823.8774355106,31.810050422970995,104868.07613977748,258240.8742488797,124875.4286814245,202018.66505732457,03/04/2020
19,194764.04130302253,164458.2918383249,122539.77063204173,76041.66289419399,0.0,91989.54047348902,113848.127357033,183601.36633095177,209329.6672239226,23/04/2020
20,80644.48585203277,133570.18626462936,302298.425726367,118502.8834154045,6103.391788472483,83802.47137134848,65717.21172641742,124864.71869097179,204430.86239447526,20/03/2020
21,234325.487192699,201468.36428248262,131843.84974418615,137374.53698038694,55344.31537004709,324723.0778714162,277061.2963864922,186621.58363861835,144601.00918702528,13/09/2019
22,115641.14952366964,60941.397483237146,319103.46784365113,99353.70553328995,53792.605593316795,76075.3499715754,15951.079090402725,112511.50970307915,198098.6399609516,13/02/2020
