,Date,Value
0,1990-01-01,180045
1,1990-01-04,181598
2,1990-01-07,180542
3,1990-01-10,180513
4,1991-01-01,180414
5,1991-01-04,179188
6,1991-01-07,179455
7,1991-01-10,179549
8,1992-01-01,179225
9,1992-01-04,181251
10,1992-01-07,182440
11,1992-01-10,182738
12,1993-01-01,184245
13,1993-01-04,184640
14,1993-01-07,188069
15,1993-01-10,189490
16,1994-01-01,191095
17,1994-01-04,191515
18,1994-01-07,193222
19,1994-01-10,194348
20,1995-01-01,194708
21,1995-01-04,195963
22,1995-01-07,196931
23,1995-01-10,199163
24,1996-01-01,201297
25,1996-01-04,203008
26,1996-01-07,204768
27,1996-01-10,207283
28,1997-01-01,209792
29,1997-01-04,212354
30,1997-01-07,215715
31,1997-01-10,217665
32,1998-01-01,219102
33,1998-01-04,221815
34,1998-01-07,225614
35,1998-01-10,225003
36,1999-01-01,227713
37,1999-01-04,232273
38,1999-01-07,234917
39,1999-01-10,236628
40,2000-01-01,239915
41,2000-01-04,242029
42,2000-01-07,244241
43,2000-01-10,247390
44,2001-01-01,247567
45,2001-01-04,248457
46,2001-01-07,252384
47,2001-01-10,254533
48,2002-01-01,256236
49,2002-01-04,257702
50,2002-01-07,259200
51,2002-01-10,261207
52,2003-01-01,263639
53,2003-01-04,266158
54,2003-01-07,268289
55,2003-01-10,269656
56,2004-01-01,271341
57,2004-01-04,274232
58,2004-01-07,275380
59,2004-01-10,277906
60,2005-01-01,279374
61,2005-01-04,278885
62,2005-01-07,281755
63,2005-01-10,281709
64,2006-01-01,281586
65,2006-01-04,284000
66,2006-01-07,287623
67,2006-01-10,288802
68,2007-01-01,289245
69,2007-01-04,290983
70,2007-01-07,295139
