,Date,Value
0,2013-09-12,53864.43017286717
1,2012-01-01,143334.16164644316
2,2013-04-10,215457.72069146868
3,2010-05-31,210892.9384734291
4,2012-01-01,179243.78176168792
5,2013-06-18,198415.86707745423
6,2013-01-01,204806.56218270966
7,2013-10-12,253801.89132300124
8,2013-05-11,238585.95059620263
9,2013-09-27,193546.76604487866
10,2013-04-10,161288.97170406554
11,2013-10-18,170418.53614014474
12,2013-04-10,186547.43331055128
13,2013-01-01,262322.81813000847
14,2013-04-19,241629.13874156235
15,2013-03-29,203893.60573910174
16,2013-01-01,215457.72069146868
17,2013-03-15,174678.99954364833
18,2013-02-17,148811.90030809067
19,2012-01-01,154898.27659881013
20,2012-01-08,237672.9941525947
21,2013-01-01,243759.37044331417
22,2013-04-11,114423.87426552574
23,2013-05-13,84296.31162646445
24,2012-11-26,231890.93667641122
25,2012-05-11,219413.86528043632
26,2012-02-04,170722.85495468072
27,2012-10-29,174374.68072911236
28,2012-09-14,186243.1144960153
29,2010-08-31,168288.30443839292
30,2012-01-01,221239.77816765217
31,2012-01-01,200241.77996467007
32,2012-03-27,228543.4297165155
33,2012-01-01,211805.894917037
34,2012-05-14,118380.01885449339
35,2012-03-19,115032.51189459769
36,2012-07-24,184417.20160879946
37,2012-01-01,237368.67533805873
38,2012-12-03,206328.1562553895
39,2011-01-01,263235.7745736164
40,2012-07-05,129335.4961777884
41,2012-06-22,214849.08306239673
42,2011-10-24,136639.14772665175
43,2012-07-18,223370.00986940396
44,2011-06-28,265061.68746083224
45,2012-05-25,220935.4593531162
46,2011-11-28,256540.76065382498
47,2011-08-19,209067.02558621328
48,2011-01-01,147290.3062354108
49,2012-02-10,201763.37403734992
50,2011-07-25,207545.4315135334
51,2011-01-01,171027.1737692167
52,2011-06-17,204197.9245536377
53,2010-05-10,241629.13874156235
54,2011-01-01,228543.4297165155
55,2011-01-01,232803.89312001914
56,2011-01-01,200850.417593742
57,2011-01-24,168592.6232529289
58,2010-05-10,214240.44543332478
59,2010-01-01,210588.61965889312
60,2010-01-01,251975.9784357854
61,2010-01-01,188981.98382683904
62,2010-05-31,188373.34619776712
63,2010-05-10,193242.4472303427
64,2010-08-15,204502.2433681737
65,2010-11-24,187460.3897541592
66,2010-01-01,214849.08306239673
67,2012-01-01,209675.6632152852
68,2010-04-27,200850.417593742
69,2013-11-18,189590.621455911
70,2012-12-03,240716.18229795442
71,2011-01-01,198415.86707745423
72,2010-04-27,209371.34440074922
73,2010-06-23,140290.97350108344
74,2009-01-01,156115.551856954
75,2009-11-08,214849.08306239673
76,2013-12-11,110467.7296765581
77,2009-09-11,217892.27120775645
78,2011-01-01,170722.85495468072
79,2010-11-22,191720.85315766282
80,2010-09-02,246193.92095960194
81,2009-09-11,269017.8320497999
82,2009-01-01,231890.93667641122
83,2009-01-01,205110.88099724564
84,2011-01-01,187460.3897541592
85,2009-08-18,181069.69464890377
86,2008-09-26,258366.67354104083
87,2011-10-13,137856.42298479564
88,2009-06-03,160071.69644592167
89,2008-09-16,53864.43017286717
90,2008-11-14,192329.49078673476
91,2008-09-23,164940.79747849723
92,2011-01-01,269322.1508643359
93,2008-11-24,148811.90030809067
94,2013-08-27,160984.65288952956
95,2008-05-16,229760.7049746594
96,2009-09-18,229152.06734558745
97,2008-01-01,241324.81992702637
98,2012-10-26,131465.7278795402
99,2010-03-14,178026.50650354402
100,2008-11-03,226717.51682929968
101,2008-02-06,176809.23124540015
102,2009-08-12,213327.48898971686
103,2012-10-19,136030.5100975798
104,2010-01-01,185330.15805240738
105,2009-08-21,172244.44902736053
106,2010-12-11,203893.60573910174
107,2012-10-22,201154.73640827797
108,2011-01-01,224282.9663130119
109,2013-01-01,214849.08306239673
110,2012-01-01,243759.37044331417
111,2008-12-11,225500.24157115578
112,2013-05-09,215153.4018769327
113,2013-01-01,215457.72069146868
114,2010-02-01,192025.1719721988
115,2011-10-16,161897.6093331375
116,2011-05-01,250150.06554856958
117,2010-05-10,215153.4018769327
118,2013-01-01,198415.86707745423
119,2009-09-18,179852.41939075987
120,2010-07-27,174374.68072911236
121,2013-10-15,156724.18948602595
122,2012-10-29,131465.7278795402
123,2008-01-01,259888.2676137207
124,2013-11-25,133291.64076675606
125,2011-01-19,250758.7031776415
126,2011-01-01,209371.34440074922
127,2008-01-01,248324.15266135373
