"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2016","2016","PC","Percentage","0","Units",,,1.001394,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2017","2017","PC","Percentage","0","Units",,,3.03988,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2018","2018","PC","Percentage","0","Units",,,2.429548,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2019","2019","PC","Percentage","0","Units",,,1.861415,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2020","2020","PC","Percentage","0","Units",,,-4.894559,,
"CAN","Canada","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","2021","2021","PC","Percentage","0","Units",,,4.562894,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1970","1970","PC","Percentage","0","Units",,,1.596842,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1971","1971","PC","Percentage","0","Units",,,3.004996,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1972","1972","PC","Percentage","0","Units",,,3.929385,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1973","1973","PC","Percentage","0","Units",,,4.092946,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1974","1974","PC","Percentage","0","Units",,,-1.122394,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1975","1975","PC","Percentage","0","Units",,,-1.456645,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1976","1976","PC","Percentage","0","Units",,,5.924606,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1977","1977","PC","Percentage","0","Units",,,1.870291,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1978","1978","PC","Percentage","0","Units",,,2.226309,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1979","1979","PC","Percentage","0","Units",,,3.869112,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1980","1980","PC","Percentage","0","Units",,,-0.482986,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1981","1981","PC","Percentage","0","Units",,,-0.666124,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1982","1982","PC","Percentage","0","Units",,,3.684573,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1983","1983","PC","Percentage","0","Units",,,2.596072,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1984","1984","PC","Percentage","0","Units",,,4.166138,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1985","1985","PC","Percentage","0","Units",,,4.003752,,
"DNK","Denmark","B1_GE","Gross domestic product (expenditure approach)","G","Growth rate","1986","1986","PC","Percentage","0","Units",,,4.904178,,
